"Gene","t_score","p_value","p_adj"
"1552309_a_at",-7.81309568810654,3.65322883169349e-13,6.05705340294781e-10
"1552365_at",2.19725991407727,0.0294409501456224,1
"1552367_a_at",2.40096383531367,0.0175388867797409,1
"1552455_at",2.29507974047767,0.0230755043149904,1
"1552502_s_at",4.06953783167033,6.96124176000961e-05,0.115417388380959
"1552511_a_at",-0.188302910874254,0.850874039020115,1
"1552735_at",-2.16109453161618,0.0321312536165768,1
"1552767_a_at",-1.27286844762439,0.205036901912771,1
"1552797_s_at",1.74442490134806,0.0830404368986715,1
"1552834_at",4.17891798476841,4.7050538574376e-05,0.0780097929563153
"1552848_a_at",-2.51552655042789,0.0127326037393743,1
"1552870_s_at",2.6445486552091,0.00907277426347758,1
"1553102_a_at",-4.82233465991006,2.75437835766659e-06,0.0045667593170112
"1553275_s_at",-5.52012258303448,1.08666489321377e-07,0.000180169039294842
"1553296_at",1.70977251229665,0.0893892159905959,1
"1553319_at",2.56522532133796,0.0112793484581964,1
"1553486_a_at",1.87328248150482,0.0632194739568684,1
"1553613_s_at",-3.27486829234993,0.00126368350066353,1
"1553808_a_at",-2.04212578627418,0.042512320412631,1
"1553828_at",5.58652746632886,7.53041230178931e-08,0.000124854235963667
"1553970_s_at",-2.33943107755608,0.0203333448448242,1
"1554007_at",-6.26262141373634,2.27922151713838e-09,3.77894927541544e-06
"1554018_at",-7.2684108600802,8.92258285780826e-12,1.47936423782461e-08
"1554127_s_at",-8.06504624209581,1.08501267388344e-13,1.79895101329875e-10
"1554190_s_at",3.52911340815541,0.000530808514182143,0.880080516513994
"1554195_a_at",-5.5392126371422,1.00381272473223e-07,0.000166432149760604
"1554242_a_at",1.10030662630129,0.273030638371428,1
"1554375_a_at",1.56660179903494,0.11943286597127,1
"1554436_a_at",4.92103260985201,1.76263235775072e-06,0.00292244444915069
"1554474_a_at",-7.13684539369042,1.67416111394653e-11,2.77575912692335e-08
"1554547_at",-6.63936131080048,3.28042128494175e-10,5.43893849043342e-07
"1554726_at",-0.00892079089219344,0.992894551544407,1
"1554741_s_at",-6.20696810070614,2.95293933360043e-09,4.89597341510951e-06
"1554781_at",1.87123286431825,0.0632634108893187,1
"1554899_s_at",-5.77724597016583,2.87427824166726e-08,4.76555332468432e-05
"1554997_a_at",-0.954127054947672,0.34141699797209,1
"1555019_at",2.51295585566386,0.0130434697181044,1
